,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000,2020
Spain,11830961.45,13009755.15,14794001.05,16193558.95,17690049.9,19808342.0,23343540.45,27884718.9,33809901.45,39153752.1,45216015.1,47073650.5
Sri Lanka,1339599.05,1620278.0,2006462.95,2644016.6,3486329.35,4799965.75,5976344.55,7921763.25,12322066.75,17081183.55,20140381.0,21455278.0
Sudan,4049895.55,4287594.35,4643464.05,4783827.45,4861110.2,4915151.4,5207442.25,6027213.25,10352263.85,20250618.9,34537969.9,44379310.0
Suriname,80722.45,82131.4,85213.95,88837.25,92690.55,105305.6,158214.55,222611.9,342554.55,405792.85,526276.25,589216.0
Svalbard and Jan Mayen,1081.25,2406.1111111111113,,,,,,,,,,
Sweden,2464977.2,2846348.2,3447963.1,4161315.5,4801078.2,5458666.6,6118792.25,6947119.0,7956932.25,8575974.7,9385659.75,10129714.5
Switzerland,1859642.3,2095146.6,2363432.45,2650143.8,2984905.3,3619986.4,4012677.35,4665276.0,5999529.35,6679792.55,7807095.45,8685056.0
Syria,1290845.85,1380709.7,1475275.85,1565431.05,1659044.05,1937882.8,2549640.75,3510754.65,6377176.85,12333616.85,18281392.7,21284207.0
Taiwan,2002516.15,2065310.05,2195125.8,2321462.5,2520135.6,3198737.2,4504117.35,7678641.75,14503288.9,20182090.5,23048762.9,23835891.5
Tajikistan,466671.8,509850.35,611575.85,731805.9,875241.75,1046809.05,1254915.2,1604698.35,2901416.6,5105531.65,7567348.85,9643633.5
Tanzania,3009972.85,3671838.25,4758932.25,5017878.0,5306247.85,5371928.55,5667108.25,7778075.95,13597277.95,25224344.15,44478671.9,60616325.5
Thailand,3730117.2,4834874.05,5240779.45,5843284.1,6800448.9,8575358.7,12691868.05,20734826.3,36590102.8,55449222.1,66799851.4,69875411.0
Timor,137280.15,156060.4,202350.8,258231.4,308013.1,349372.3,406472.5,434303.1,558823.25,740092.85,1084608.9,1331158.5
Togo,446004.0,464567.5,508646.05,582223.35,687725.3,804190.6,1010407.25,1371356.55,2061222.45,3708360.85,6399936.95,8378489.0
Tokelau,1242.8,1538.9,1628.35,1859.1666666666667,,,,,,,,
Tonga,18510.25,18571.55,18665.0,19233.5,20015.95,23193.8,29828.95,47204.95,80423.0,94982.85,101621.95,106228.0
Trinidad and Tobago,35458.45,65725.5,82201.9,127793.15,218111.8,331779.45,424820.95,643217.75,952807.15,1202118.7,1328724.6,1401432.5
Tunisia,835106.0,945357.1,1116085.4,1367088.1,1683887.85,2139789.25,2634215.05,3606813.5,5069855.5,8109323.9,10615571.3,11877191.0
Turkey,9909973.95,10384313.35,11059442.45,11876631.35,13313378.45,14364233.55,15576748.95,21703328.5,34767197.35,53310787.25,72623985.3,84690901.5
Turkmenistan,367248.7,401228.3,481397.25,577049.1,691554.4,828790.65,994303.5,1249324.3,2179772.35,3669287.55,5128410.85,6074560.0
Turks and Caicos Islands,1454.15,5832.35,10083.3,26300.05,37636.857142857145,,,,,,,
Tuvalu,2499.1,2617.6,2881.55,3169.55,3486.0,3833.75,4219.75,4778.15,5835.7,8706.0,10484.45,11858.5
Uganda,2210640.35,2444135.45,2896363.45,3159377.3,3281175.6,3446897.1,3759879.65,5245276.1,9274783.6,17279014.5,32635149.1,46432266.5
Ukraine,11216519.2,12254320.25,14711369.95,17708972.9,21325906.0,25680660.45,30863940.1,37545002.2,44622848.1,47561404.0,50583587.45,51462187.0
United Arab Emirates,39873.2,40149.1,40153.0,40420.15,43974.45,49190.45,57580.45,71242.3,341383.85,1859649.8,7066159.65,9940741.5
United Kingdom,13533821.65,23863418.8,27447649.05,31507037.4,37712804.8,44596827.6,47154138.7,50324247.25,55001802.65,57173919.65,63015886.0,68046559.0
United States,7477431.85,13212754.35,23632068.85,40556163.45,64030721.8,94540074.9,125831430.9,158863000.0,208113574.85,251949731.35,306688827.7,331958860.5
United States Virgin Islands,20639.65,49773.45,100786.05,106220.4,108552.57142857143,,,,,,,
Uruguay,55016.3,73728.2,141445.0,335637.7,677960.6,1114712.85,1700872.85,2233241.95,2757383.65,3106685.1,3368305.85,3479439.5
Uzbekistan,1919335.1,2096920.35,2514825.3,3005083.4,3588370.45,4284939.35,5133732.8,6546377.25,11868425.45,20181862.6,28517787.15,33702482.0
Vanuatu,27793.75,30558.35,37020.15,43689.8,47352.8,51704.4,54892.3,58961.8,85885.05,146918.5,237283.3,310807.0
Vatican,711.7,777.95,814.25,903.05,905.0,905.0,906.05,908.05,910.0,911.8,912.0,912.0
Venezuela,775933.7,971261.0,1332253.4,1712479.95,2329372.8,2981259.35,3603215.4,5657926.75,11297178.25,19413423.65,27597593.55,30062400.0
Vietnam,5080357.2,6197515.85,6666807.1,9796806.65,11039400.4,16087901.5,18348027.0,24652797.15,42801445.55,67118400.4,87839544.5,97753706.0
Wallis and Futuna,8081.25,10582.35,13378.8,14671.5,,,,,,,,
Western Sahara,5371.6,50091.9,174453.2,398621.4,568089.7142857143,,,,,,,
World,1026066242.1,1158607651.5,1268485669.65,1350337683.55,1528312901.65,1780097548.1,2100730135.7,2581370990.4,3678716213.6,5268589392.4,6920746975.4,7834882227.5
Yemen,2593047.25,2638559.45,2733276.6,2811913.0,2889438.95,3186798.1,3825825.2,4669636.5,6247574.6,11959045.75,23017506.75,30158303.5
Zambia,866027.85,1172629.9,1461082.75,1559824.75,1597356.35,1611620.05,1708901.2,2354898.55,4208237.3,7926000.05,13710673.45,18652306.5
Zimbabwe,709435.05,801849.85,907073.4,1025558.7,1085748.85,1278960.6,1836432.45,2818677.45,5307601.6,10000536.15,12898329.65,14977549.0
