,1800,1820,1840,1860,1880,1900,1920,1940,1960,1980,2000,2020
Colombia,1206410.9,1602106.8,2151334.2,2606495.2,3412974.95,5047424.3,7917602.0,12082322.7,21157522.35,32863129.25,44897135.1,51074362.5
Comoros,56347.2,57487.45,60601.55,68499.35,78388.2,103647.95,136989.1,163180.75,232438.9,410648.45,687475.25,879025.5
Congo,314515.6,367807.85,486609.0,526985.95,557202.8,595200.05,633009.3,827454.35,1332500.4,2355271.3,4204259.6,5587554.5
Cook Islands,16893.15,17975.6,18758.15,20456.25,,,,,,,,
Costa Rica,57616.7,77260.5,103547.4,145734.1,249737.6,384736.55,547885.4,944631.0,1820716.95,3104162.75,4534302.35,5116583.5
Cote d'Ivoire,1048848.85,1077762.05,1089976.65,1190118.0,1360118.6,1535246.85,1882970.85,2671225.65,5240996.55,11855627.35,20608540.75,26715952.0
Croatia,1227994.1,1336744.2,1592682.0,1900601.2,2268535.1,2707652.9,3228430.7,3838806.2,4247217.9,4417704.45,4648595.45,4778499.5
Cuba,486544.45,888438.9,1182472.35,1402630.55,1631176.85,2278133.2,3851899.1,5848458.1,8594244.5,10487343.5,11257733.85,11338700.5
Curacao,122010.75,139958.95,148746.55,159223.41666666666,,,,,,,,
Cyprus,184582.15,184983.4,185364.05,185625.4,208425.35,270947.0,358601.1,497717.75,615587.35,777299.2,1088419.55,1211474.5
Czechia,5516553.55,5916065.4,6802258.75,7692808.55,8634876.3,9355106.7,9822261.75,10155771.3,10322500.75,10467652.15,10812716.35,11144500.0
Democratic Republic of Congo,5164626.0,6011973.05,7860839.75,8336221.1,8781839.7,9341424.15,9792963.1,12275366.2,19963962.3,35124782.0,64766748.45,90969695.0
Denmark,1071827.2,1258792.1,1503307.4,1877878.75,2296011.6,2875856.05,3528120.9,4226164.2,4890780.15,5173444.0,5546461.0,5802752.5
Djibouti,22852.4,27562.3,38363.3,40410.1,41145.45,43212.35,48437.5,63067.9,171623.05,537530.8,840995.95,995099.5
Dominica,19951.0,20911.75,23386.05,26433.1,27671.45,32912.85,41922.35,51724.35,67457.85,70930.85,72713.25,75316.0
Dominican Republic,98848.1,120757.55,152524.55,241986.6,401097.95,683136.15,1243715.85,2362386.5,4452921.6,7072399.75,9626027.65,10900809.0
Ecuador,500082.3,586960.35,802770.55,1018958.95,1276163.65,1639022.25,2079080.5,3431755.2,6049533.3,10151602.65,14926607.65,17765767.0
Egypt,3819139.3,4326444.1,5461205.6,6798109.95,8461449.6,10938968.25,13797525.05,20411558.65,34165874.15,55286609.05,83177681.25,103296365.0
El Salvador,204155.2,281292.8,368093.2,518284.4,743847.9,1050656.8,1581976.5,2205096.05,3631371.3,5239984.95,6172947.9,6502350.5
Equatorial Guinea,80385.05,88533.3,107014.1,118357.15,124704.05,132616.8,139956.9,209834.85,267201.0,419162.15,944453.65,1426438.0
Eritrea,205095.75,311905.4,557326.0,585405.7,614611.45,647714.05,682113.95,825487.6,1313045.95,2104198.95,3035133.45,3573944.5
Estonia,334176.4,375681.4,477561.85,606983.05,771403.45,980906.25,1109997.95,1137879.1,1300626.2,1373195.35,1486008.65,1567606.5
Eswatini,68540.75,73369.65,78596.75,84324.95,98380.9,127616.8,183330.85,273092.6,434176.2,801838.5,1066458.75,1166266.5
Ethiopia,12101647.25,13938377.35,17464781.65,17888877.0,17964028.65,18116557.85,18267208.5,19114002.85,28311355.2,48174634.5,87536266.6,116419904.5
Europe,205977573.95,242874226.3,279474996.2,319865555.65,373636311.95,435833210.7,488858732.0,555327124.6,653227683.9,716388253.0,736990952.25,748903194.0
Faeroe Islands,15874.85,36610.45,44516.85,47473.0,48520.857142857145,,,,,,,
Falkland Islands,1806.45,2009.25,2215.65,2837.35,3227.5714285714284,,,,,,,
Fiji,121278.05,128236.35,132074.4,134706.4,137343.2,142854.9,198271.95,300717.35,512713.1,731416.45,848555.45,899671.5
Finland,963816.35,1325721.15,1599985.05,1813994.75,2335070.95,2891465.2,3411637.45,4020578.2,4620422.1,4994335.8,5359145.0,5544539.5
France,30055811.45,33089082.95,36134530.25,38032661.05,38987076.95,39829996.3,40380955.75,42139488.15,50319870.25,56402888.4,62511959.5,65349844.5
French Guiana,15807.9,39487.6,89211.45,196275.9,283273.0,,,,,,,
French Polynesia,79984.7,151930.2,236291.55,274115.8333333333,,,,,,,,
Gabon,158260.65,194868.0,285490.85,324787.6,342205.6,363911.95,383930.9,460781.7,588987.5,946028.45,1645034.65,2252278.5
Gambia,103276.8,106006.2,112930.95,128237.0,153039.4,178272.0,220309.15,302536.1,469583.3,935254.9,1792193.9,2451800.5
Georgia,1072276.4,1171488.15,1405775.95,1686968.8,2024301.5,2429096.25,2915571.2,3524352.35,4070382.15,4508410.4,5103792.0,5411191.5
Germany,21095737.45,27842553.35,33547554.75,39510262.35,48490929.75,60856222.45,66284696.2,70950252.5,76958062.25,79603091.05,81728176.15,83842208.0
