Year,Disaster Subgroup,Disaster Type,Disaster Subtype,Country Name,Region,Dis Mag Value,Total Deaths,No Injured,No Suffered,No Homeless,Total Affected,CPI
1980,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,7,100,5600,200000,35000,240600,32.23389323
1988,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,7,709,1016,300000,0,301016,46.25655683
1993,Hydrological,Flood,Flash flood,Nepal,Southern Asia,373,1048,268,553000,0,553268,56.50464564
1995,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,71320,140,0,10000,3000,13000,59.60449489
1996,Hydrological,Flood,Flash flood,Nepal,Southern Asia,60,768,132,137600,13650,151382,61.35162973
2003,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,137100,239,284,43395,15575,59254,71.95500655
2004,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,37430,185,15,800000,0,800015,73.88141244
2005,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,8030,51,0,1600,0,1600,76.38802721
2007,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,56920,214,48,640658,0,640706,81.10165893
2008,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,168100,50,3,180000,0,180003,84.21522909
2009,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,129700,87,62,257724,0,257786,83.91580741
2011,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,7,7,89,167860,0,167949,87.98460292
2012,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,4395,72,5,0,0,5,89.80529293
2014,Hydrological,Flood,Riverine flood,Nepal,Southern Asia,11578,16,0,2400,0,2400,92.59898057
2015,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,7,138,2428,0,0,2428,92.70882199
2018,Hydrological,Flood,Flash flood,Nepal,Southern Asia,85852,15,6,1400,0,1406,98.21999062
2002,Meteorological,Storm,Tropical cyclone,Oman,Western Asia,100,7,33,50,0,83,70.35781897
2007,Meteorological,Storm,Tropical cyclone,Oman,Western Asia,260,76,0,20000,0,20000,81.10165893
1972,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,100,0,5000,0,5000,16.35652475
1974,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,4700,15000,30000,5200,50200,19.28687447
1981,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,4,6,12,225,0,237,35.56517152
1981,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,250,2000,0,0,2000,35.56517152
1983,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,24,543,0,0,543,38.9583793
1984,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,4,12,0,0,12,40.63380386
1985,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,5,38,12000,0,12038,42.07452677
1989,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,2692,20,0,142400,0,142400,48.48936537
1990,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,11,40,0,0,40,51.106795
1990,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,11,250,0,0,250,51.106795
1991,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,300,574,174755,29465,204794,53.27115662
1992,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,36,100,0,2000,2100,54.88464241
1997,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,4,31,56,0,0,56,62.7858352
1997,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,50,100,0,10000,10100,62.7858352
1997,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,1925,140,0,836328,15000,851328,62.7858352
1998,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,1,11,0,600,611,63.76045524
1999,Meteorological,Storm,Tropical cyclone,Pakistan,Southern Asia,270,231,155,315040,220745,535940,65.15554686
2001,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,111100,210,179,400000,0,400179,69.25933995
2001,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,8,12,100,914192,0,914292,69.25933995
2002,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,4900,22,10,3000,0,3010,70.35781897
2002,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,5,17,65,11000,4000,15065,70.35781897
2002,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,19,40,140742,0,140782,70.35781897
2003,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,3519,36,20,0,0,20,71.95500655
2004,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,24,63,10765,2320,13148,73.88141244
2005,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,75650,20,0,0,3500,3500,76.38802721
2005,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,104000,15,0,5000,0,5000,76.38802721
2005,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,28630,39,0,460073,0,460073,76.38802721
2006,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,42570,40,0,2000,0,2000,78.85225551
2006,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,2748,74,50,0,5000,5050,78.85225551
2007,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,190100,44,20,0,0,20,81.10165893
2007,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,2215,228,186,0,0,186,81.10165893
2007,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,12120,22,0,500,0,500,81.10165893
2007,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,130,130,0,2000,0,2000,81.10165893
2008,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,166,320,75000,0,75320,84.21522909
2008,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,165900,37,0,90752,0,90752,84.21522909
2008,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,32490,36,12,200000,0,200012,84.21522909
2009,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,10370,52,70,0,0,70,83.91580741
2009,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,30560,36,0,75000,0,75000,83.91580741
2010,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,14180,60,0,4000,0,4000,85.2920606
2011,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,2,0,1000,0,1000,87.98460292
2012,Hydrological,Flood,Riverine flood,Pakistan,Southern Asia,98264,26,0,1200,0,1200,89.80529293
2013,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,22,50,0,0,50,91.12079403
2013,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,8,41,175,15000,0,15175,91.12079403
2013,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,8,399,599,185150,0,185749,91.12079403
2015,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,3,85,0,0,85,92.70882199
2015,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,21148,49,267,4800,0,5067,92.70882199
2015,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,8,280,1745,366945,133900,502590,92.70882199
2016,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,111748,92,77,0,0,77,93.87843648
2016,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,7,6,42,100,0,142,93.87843648
2016,Hydrological,Flood,Flash flood,Pakistan,Southern Asia,31431,46,0,235,175,410,93.87843648
2019,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,6,39,746,129652,0,130398,100
2013,Hydrological,Flood,Riverine flood,"Palestine, State of",Western Asia,29142,5,0,12500,0,12500,91.12079403
1973,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,14,64,0,0,64,17.36698602
1976,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,8,6000,6348,175000,0,181348,22.25960139
1977,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,1,30,60000,0,60030,23.706851
1981,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,200,261,95,840078,0,840173,35.56517152
1983,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,19,176,1725,0,1901,38.9583793
1983,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,115,27,120811,29054,149892,38.9583793
1985,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,2,25,150,0,175,42.07452677
1985,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,12850,54,0,444,0,444,42.07452677
1986,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,220,109,16,644608,2689,647313,42.87312983
1989,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,160,11,1,12837,212,13050,48.48936537
1989,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,22,21,140000,0,140021,48.48936537
1989,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,205,30,279,458400,0,458679,48.48936537
1990,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,4,15,0,0,15,51.106795
1990,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,3620,98,0,236,0,236,51.106795
1990,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,1,4,34500,0,34504,51.106795
1990,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,64,14,160000,0,160014,51.106795
1991,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,100,2,0,0,10000,10000,53.27115662
1991,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,260,65,38,300000,16000,316038,53.27115662
1992,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,109,22,0,5135,0,5135,54.88464241
1992,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,205,11,1,171603,1965,173569,54.88464241
1993,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,360,25,4,0,0,4,56.50464564
1993,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,180,2,0,29413,14322,43735,56.50464564
1993,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,23140,23,0,90000,0,90000,56.50464564
1993,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,52,7,366217,0,366224,56.50464564
1994,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,36860,9,0,16821,0,16821,57.97797424
1994,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,25390,2,0,18000,0,18000,57.97797424
1994,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,110,15,33,46500,59213,105746,57.97797424
1994,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,32,15,0,258736,258751,57.97797424
1994,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,81,171,266710,3985,270866,57.97797424
1995,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,10940,416,7,24478,0,24485,59.60449489
1995,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,157,6,0,195886,0,195886,59.60449489
1995,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,135,146,55,347998,0,348053,59.60449489
1995,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,184,14,758423,106000,864437,59.60449489
1996,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,140,26,13,36815,0,36828,61.35162973
1997,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,1,0,4000,0,4000,62.7858352
1997,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,180,18,5,53654,0,53659,62.7858352
1997,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,18320,18,0,105000,0,105000,62.7858352
1998,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,69,30,326490,0,326520,63.76045524
1999,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,6,40,150,0,190,65.15554686
1999,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,58,34,79,2609,1015,3703,65.15554686
2000,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,185,11,0,0,120000,120000,67.35575898
2000,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,16700,50,0,153885,0,153885,67.35575898
2000,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,135,48,26,164067,0,164093,67.35575898
2001,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,190,4,0,300,0,300,69.25933995
2001,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,845,2,0,12000,0,12000,69.25933995
2001,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,31880,37,0,79000,0,79000,69.25933995
2001,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,45,55,84,0,100000,100084,69.25933995
2002,Hydrological,Flood,Coastal flood,Philippines (the),South-Eastern Asia,11680,26,59,3500,0,3559,70.35781897
2002,Hydrological,Flood,Coastal flood,Philippines (the),South-Eastern Asia,12840,18,0,7000,0,7000,70.35781897
2002,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,160,62,0,11000,0,11000,70.35781897
2002,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,5280,35,0,50000,0,50000,70.35781897
2002,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,8,15,100,73351,0,73451,70.35781897
2002,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,13420,11,8,95000,0,95008,70.35781897
2002,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,170,33,41,700000,0,700041,70.35781897
2003,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,200,21,0,14280,0,14280,71.95500655
2003,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,140,13,3,46472,80655,127130,71.95500655
2004,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,260,31,14,0,700,714,73.88141244
2004,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,2080,15,0,0,1500,1500,73.88141244
2004,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,20370,7,0,20000,0,20000,73.88141244
2004,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,240,8,8,70480,0,70488,73.88141244
2004,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,230,28,12,385000,0,385012,73.88141244
2004,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,215,104,240,838434,0,838674,73.88141244
2005,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,18,0,11,0,11,76.38802721
2005,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,95,16,0,20000,0,20000,76.38802721
2005,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,4630,4,0,192946,0,192946,76.38802721
2006,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,630,1,0,1000,0,1000,78.85225551
2006,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,130,6,10,21250,0,21260,78.85225551
2006,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,3680,2,0,40000,0,40000,78.85225551
2006,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,185,41,0,42000,0,42000,78.85225551
2006,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,37,0,51680,0,51680,78.85225551
2006,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,63470,4,0,256641,0,256641,78.85225551
2006,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,230,34,58,282963,0,283021,78.85225551
2006,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,42,42,327500,0,327542,78.85225551
2007,Hydrological,Flood,Coastal flood,Philippines (the),South-Eastern Asia,11140,11,0,16463,0,16463,81.10165893
2007,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,44620,9,0,24508,0,24508,81.10165893
2007,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,25810,8,0,33884,0,33884,81.10165893
2007,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,129,20,11,35322,0,35333,81.10165893
2007,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,170,29,6,443109,0,443115,81.10165893
2008,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,24110,29,0,0,50000,50000,84.21522909
2008,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,21770,10,0,239763,0,239763,84.21522909
2008,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,38,13,429450,0,429463,84.21522909
2008,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,21800,63,37,875306,0,875343,84.21522909
2009,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,83,16,5,110400,0,110405,83.91580741
2009,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,148,29,8,383457,0,383465,83.91580741
2009,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,139,77,53,400954,0,401007,83.91580741
2009,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,140,39,20,802155,0,802175,83.91580741
2010,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,95,31,0,1045,0,1045,85.2920606
2010,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,22340,27,0,40000,0,40000,85.2920606
2010,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,15301,16,0,450673,0,450673,85.2920606
2010,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,120,146,91,585383,0,585474,85.2920606
2011,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,44521,11,0,2000,0,2000,87.98460292
2011,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,165,11,5,8418,0,8423,87.98460292
2011,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,6361,31,0,121005,0,121005,87.98460292
2011,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,25963,16,1,241776,0,241777,87.98460292
2011,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,3623,23,164,638254,0,638418,87.98460292
2011,Hydrological,Flood,Riverine flood,Philippines (the),South-Eastern Asia,71700,12,3,944778,0,944781,87.98460292
2012,Hydrological,Flood,Flash flood,Philippines (the),South-Eastern Asia,23516,1,0,700,0,700,89.80529293
2012,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,165,11,1,5606,0,5607,89.80529293
2012,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,210,4,0,7921,0,7921,89.80529293
2012,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,8,1,10,28869,0,28879,89.80529293
2012,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,113,112,320165,0,320277,89.80529293
2012,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,150,58,35,949051,0,949086,89.80529293
2014,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,130,4,1,431085,0,431086,92.59898057
2014,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,210,72,0,578549,0,578549,92.59898057
2015,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,220,2,0,523,0,523,92.70882199
2015,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,185,46,24,287227,0,287251,92.70882199
2015,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,252,40,24,318359,0,318383,92.70882199
2016,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,8,202,0,0,202,93.87843648
2016,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,215,8,0,981154,0,981154,93.87843648
2017,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,75,6,0,305,0,305,95.87816577
2017,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,3,448,16052,0,16500,95.87816577
2017,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,8,202,16655,0,16857,95.87816577
2017,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,250,9,0,163349,0,163349,95.87816577
2018,Meteorological,Storm,Tropical cyclone,Philippines (the),South-Eastern Asia,210,12,2,253298,0,253300,98.21999062
2019,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,6,9,64,2963,0,3027,100
2019,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,6,7,215,3068,0,3283,100
2019,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,6,25,282,15273,0,15555,100
2019,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,10,395,25630,0,26025,100
2019,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,23,417,260286,0,260703,100
2019,Geophysical,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,7,14,210,394355,0,394565,100
2004,Hydrological,Flood,Riverine flood,Saudi Arabia,Western Asia,2680,5,30,400,0,430,73.88141244
2005,Hydrological,Flood,Flash flood,Saudi Arabia,Western Asia,22760,29,17,50,0,67,76.38802721
2009,Hydrological,Flood,Riverine flood,Saudi Arabia,Western Asia,114600,161,0,0,10000,10000,83.91580741
2010,Hydrological,Flood,Riverine flood,Saudi Arabia,Western Asia,56000,10,0,85,0,85,85.2920606
1989,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,2735,325,1000,300000,200000,501000,48.48936537
1992,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,11670,14,0,0,250000,250000,54.88464241
1993,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,13960,8,0,140000,40000,180000,56.50464564
1995,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,27550,3,0,0,120000,120000,59.60449489
1997,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,11300,10,0,5000,0,5000,62.7858352
1998,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,75,1,0,135000,0,135000,63.76045524
1998,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,75,2,0,154485,75000,229485,63.76045524
2000,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,8000,2,0,100000,0,100000,67.35575898
2000,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,7600,3,0,300000,0,300000,67.35575898
2000,Meteorological,Storm,Tropical cyclone,Sri Lanka,Southern Asia,150,5,0,375000,0,375000,67.35575898
2002,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,14150,2,0,500000,0,500000,70.35781897
2003,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,13490,235,0,695000,0,695000,71.95500655
2004,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,23460,6,0,200000,0,200000,73.88141244
2005,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,29870,6,0,145000,0,145000,76.38802721
2006,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,6890,25,2,333000,0,333002,78.85225551
2007,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,10420,18,0,35000,0,35000,81.10165893
2007,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,3340,15,0,121000,0,121000,81.10165893
2008,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,43220,8,0,54323,0,54323,84.21522909
2008,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,103400,15,0,360000,0,360000,84.21522909
2008,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,40670,25,0,362582,0,362582,84.21522909
2009,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,15650,3,0,300000,0,300000,83.91580741
2010,Hydrological,Flood,Flash flood,Sri Lanka,Southern Asia,11880,7,10,164183,0,164193,85.2920606
2010,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,19210,28,0,606072,0,606072,85.2920606
2011,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,19891,18,0,225000,0,225000,87.98460292
2012,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,49084,53,21,447000,0,447021,89.80529293
2013,Hydrological,Flood,Riverine flood,Sri Lanka,Southern Asia,26063,52,0,56747,0,56747,91.12079403
2017,Meteorological,Storm,Tropical cyclone,Sri Lanka,Southern Asia,130,27,77,160000,0,160077,95.87816577
2001,Meteorological,Storm,Convective storm,Syrian Arab Republic,Western Asia,100,27,172,0,0,172,69.25933995
2004,Meteorological,Storm,Convective storm,Syrian Arab Republic,Western Asia,150,5,180,0,0,180,73.88141244
1963,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),Eastern Asia,7,15,18,0,0,18,11.97891616
1964,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),Eastern Asia,7,107,2485,37000,23000,62485,12.13211749
1994,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,174,10,40,0,0,40,57.97797424
1994,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,160,16,41,457,0,498,57.97797424
1997,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,180,44,78,0,0,78,62.7858352
1999,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),Eastern Asia,6,1,254,0,0,254,65.15554686
1999,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),Eastern Asia,8,2264,8664,0,100000,108664,65.15554686
2000,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,120,89,2,0,0,2,67.35575898
2000,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,322,14,100,0,2000,2100,67.35575898
2001,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,140,1,6,0,0,6,69.25933995
2001,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,225,9,116,0,0,116,69.25933995
2002,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),Eastern Asia,7,4,200,300,0,500,70.35781897
2004,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,130,32,2,0,0,2,73.88141244
2004,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,205,7,100,1600,0,1700,73.88141244
2005,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,227,3,59,0,0,59,76.38802721
2005,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,220,12,34,1500,0,1534,76.38802721
2005,Hydrological,Flood,Flash flood,Taiwan (Province of China),Eastern Asia,3540,16,0,2700,0,2700,76.38802721
2006,Geophysical,Earthquake,Ground movement,Taiwan (Province of China),Eastern Asia,7,2,42,0,0,42,78.85225551
2006,Hydrological,Flood,Riverine flood,Taiwan (Province of China),Eastern Asia,14310,3,0,300,0,300,78.85225551
2008,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,138,26,8,0,0,8,84.21522909
2008,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,227,3,60,0,0,60,84.21522909
2010,Meteorological,Storm,Tropical cyclone,Taiwan (Province of China),Eastern Asia,220,2,100,0,0,100,85.2920606
2012,Hydrological,Flood,Riverine flood,Taiwan (Province of China),Eastern Asia,18940,6,0,35000,0,35000,89.80529293
